,A,2,3,4,5,6,7,8,9,10
20,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
19,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
18,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
17,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
16,H,ST,ST,ST,ST,ST,H,H,H,H
15,H,ST,ST,ST,ST,ST,H,H,H,H
14,H,ST,ST,ST,ST,ST,H,H,H,H
13,H,ST,ST,ST,ST,ST,H,H,H,H
12,H,H,H,ST,ST,ST,H,H,H,H
11,H,D,D,D,D,D,D,D,D,D
10,H,D,D,D,D,D,D,D,D,H
9,H,H,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
A 10,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
A 9,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
A 8,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
A 7,H,ST,D,D,D,D,,,H,H
A 6,H,H,D,D,D,D,H,H,H,H
A 5,H,H,H,D,D,D,H,H,H,H
A 4,H,H,H,D,D,D,H,H,H,H
A 3,H,H,H,H,D,D,H,H,H,H
A 2,H,H,H,H,D,D,H,H,H,H
A A,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
10 10,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
9 9,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
8 8,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
7 7,H,SP,SP,SP,SP,SP,SP,H,H,H
6 6,H,SP,SP,SP,SP,SP,SP,H,H,H
5 5,H,D,D,D,D,D,D,D,D,H
4 4,H,H,H,H,SP,SP,H,H,H,H
3 3,H,SP,SP,SP,SP,SP,SP,H,H,H
2 2,H,SP,SP,SP,SP,SP,SP,H,H,H
